ResponseId,gender,race,educ,income,party,bz_1,bz_2,bz_3,bz_4,bz_5,bz_6,bz_7,bz_8,bz_9,bz_10,bz_11,bz_12,bz_13,bz_14,bz_15,bz_16,bz_17,bz_18,bz_19,bz_20,bz_21,bz_22,bz_23,bz_24,bz_25,bz_26,bz_27,bz_28,bz_29,bz_30,bz_31,bz_32
R_3CEzqSeYf6xu7bf,Female,White,"Graduate degree (for example, Master's degree or doctorate)","$75,000 to $99,999",Republican,0.11380753,0.00028649857,-0.04386771,0.0752724,-0.046355013,-0.06633354,0.03309041,0.04304828,-0.023355693,0.075624995,0.08451417,-0.018379258,0.029199908,0.03890548,0.12181098,0.015418818,0.017208911,0.052968595,-0.029631233,0.07875416,0.05489734,-0.056661215,-0.046514582,-0.02198206,-0.06737386,0.0056561017,0.053835314,0.002397507,0.028737564,-0.071960576,0.062168654,-0.008718977
R_6CIzmNePhYPVT3Y,Female,White,"Associate's degree (for example, AA or AS)","$60,000 to $74,999",Republican,0.0069858297,-0.035936285,-0.048024617,0.09336924,-0.021324812,-0.09867197,-0.026493635,0.033816464,-0.10219743,0.13077015,0.029374655,-0.016820978,-0.009393376,0.04173698,-0.034774214,-0.06045512,-0.1391732,0.024594506,0.019693771,-0.058647055,0.053020068,-0.08147485,0.025433999,0.06812697,-0.014377149,-0.017902851,0.028699495,0.015736379,-0.034698717,-0.024507191,0.01879375,0.038336948
R_6QITZgSihBHDflD,Female,White,"Associate's degree (for example, AA or AS)","$100,000 to $124,999",Republican,0.028834498,-0.04498828,-0.04396863,0.10747481,-0.014081648,-0.09178522,-0.017745946,0.03429349,-0.05888597,0.15390888,0.027659697,-0.04896483,0.030577837,0.047578905,0.017194595,-0.036564223,-0.0595018,0.020460447,0.015231072,-0.047108624,0.07825344,-0.070715584,0.010516302,0.045034565,-0.020954031,-0.024232877,0.03544177,0.039073568,-0.032463703,-0.059962217,0.03817353,0.013960495
R_6JEnqvdxtKampUq,Male,White,High school diploma or GED,"$40,000 to $49,999",Independent,0.030362386,0.056029923,-0.00349491,-0.030937757,0.026704647,0.019871293,-0.003738101,0.050955374,-0.040663887,0.065709785,0.064866334,-0.027537787,-0.039092556,0.066197254,-0.0281046,-0.06408944,0.026413936,-0.012357928,-0.002475893,0.0697619,-0.07447193,-0.056551542,0.047071777,0.1049232,0.015562365,-0.071437016,0.06130808,-0.04071841,0.011812881,-0.046192966,0.08356646,0.076008774
R_6ozOvcN2XpmkLj6,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","$30,000 to $34,999",Republican,-0.074349225,-0.018045058,-0.017252998,0.028953828,-0.010914948,0.029723074,0.014085347,0.030010507,-0.09633496,0.09325556,0.094046116,0.09505681,-0.062794484,0.021948706,-0.07097769,-0.046779964,-0.104293995,0.018260635,-0.028001707,0.011286551,0.07366241,-0.043761175,0.015059332,0.024559068,-0.07860646,-0.062489595,0.00625486,0.067921564,0.03080967,0.06467321,0.044234138,0.0012306133
R_71avJSkGxTOPn18,Female,Prefer not to answer,"Bachelor's degree (for example, BA, BS, or AB)",Prefer not to say,Democrat,0.017476002,-0.034648474,-0.011355531,-0.008481776,-0.015124923,0.022864494,0.004844702,0.006335317,-0.02763094,0.04501895,0.103401676,0.011857143,-0.0130284075,-0.005231009,-0.021917678,-0.009803705,-0.00028400868,0.005087009,0.018813388,0.04744702,0.027657818,-0.06179841,-0.035781108,0.0026860132,0.006600748,-0.03378258,0.03235661,0.047399685,0.021892136,-0.055190682,0.05283073,0.02953536
R_3frgtk6ccK7jOdx,Female,White,High school diploma or GED,"$40,000 to $49,999",Independent,0.036655474,0.046268526,0.036695145,-0.013372447,-0.013152547,0.052874148,0.0021032235,0.02403298,-0.016846385,0.1039766,-0.006359455,0.013198135,0.004361887,0.088720664,-0.0091876555,-0.039221603,-0.081499934,0.052899793,0.052437533,0.018699002,-0.07167333,-0.024630133,0.009765117,0.06987572,0.0607718,-0.08164956,0.019838203,-0.06545433,0.0058117704,-0.0813823,0.06791208,0.066919036
R_1Eu82v6wPG2Pzhq,Female,White,High school diploma or GED,"$20,000 to $24,999",Republican,0.021203699,0.014573542,0.04121981,0.16962455,-0.022824712,-0.07152015,-0.036129422,0.024677988,0.06717603,0.08804147,0.07407771,0.021006618,0.027389176,0.058963362,0.011191599,-0.05628093,-0.12944378,0.111835465,0.0062408466,0.014914345,-0.0011019394,-0.09481324,-0.022636114,0.05421063,-0.093903966,-0.119835086,0.10538373,0.0038800994,-0.023674872,-0.1453365,0.034745872,0.068370715
R_12V2x6ntq95acfi,Male,White,"Some college, no degree","$20,000 to $24,999",Independent,0.05781922,0.06433994,-0.0002017226,-0.008871835,0.007217129,-0.016783172,-0.004048985,0.04094853,0.0058835815,-0.00866233,0.049767565,-0.060470797,-0.070735276,0.07307677,-0.0024754545,-0.043998417,0.016932808,0.0043303426,0.0029429751,0.042596858,-0.048570998,-0.051421393,-0.031581614,0.03433717,0.029717784,-0.084523395,0.080250666,0.036568325,0.049434613,-0.012052575,0.064140394,0.11952285
R_6dc1lbtXhzIp8Ds,Female,White,High school diploma or GED,"$10,000 to $14,999",Republican,0.03560652,-0.051118687,0.054842927,0.08717729,-0.051506575,-0.07993846,-0.044077713,0.012925968,-0.039378975,0.0664348,0.080834046,0.022795528,0.085414484,0.015350631,0.03365821,-0.023097211,-0.09924508,0.044951905,0.013712577,-0.021076202,-0.019400796,-0.07747714,-0.012962805,0.04567731,-0.14112872,0.0070159445,0.06257041,-0.020729668,0.011771475,-0.04351566,0.037775975,0.10304312
R_3fQ7GNRHJvGrZD0,Female,White,High school diploma or GED,"$75,000 to $99,999",Independent,0.014549748,0.042468797,0.042183,-0.0008121915,0.0043227966,0.05312519,0.019736022,0.0039450293,-0.07897094,0.12289653,0.030573718,0.0064963102,0.0569786,0.099157706,0.064181514,-0.040205013,-0.010792399,0.08993086,0.036849063,0.03192077,-0.021123873,-0.035456643,-0.07580819,0.029395951,0.014110001,-0.05170697,-0.032056205,-0.004319475,-0.016909977,-0.06857209,0.07712002,0.0436922
R_7TT4f3pOYcwKOd8,Male,White,High school diploma or GED,"$75,000 to $99,999",Democrat,0.026142016,0.03717904,-0.041718304,0.014984097,0.016746812,-0.015952352,0.025343329,0.04175844,-0.103834525,0.07122261,0.13915744,0.0031518394,0.043308217,0.037981354,0.07241592,-0.065096304,0.019756436,0.011376029,-0.001034406,0.08929248,-0.00388664,-0.101555794,-0.008070232,-0.0067235953,-0.038747285,-0.06468367,-0.008528041,-0.018457169,0.008903491,-0.061405193,0.103740156,0.035382476
R_3rG6ktzTo8XXyKY,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$50,000 to $59,999",Democrat,0.053194866,0.007287475,-0.012592406,-0.03136797,-0.0034110397,-0.014517324,-0.056091014,0.053203344,-0.07330855,0.06843974,0.049323723,-8.187001e-05,-0.011276866,-0.03196722,-0.07075698,0.030036619,-0.0734475,0.0046626516,0.05626476,0.025573296,0.012086367,-0.044903625,0.027783364,0.0022376708,-0.016480802,-0.05716513,0.05140644,-0.0075848782,0.04483555,0.0017527696,0.0803527,0.040261332
R_7MsWceVwA6ATJDo,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$40,000 to $49,999",Independent,0.057791177,0.04215251,-0.0009253975,-0.0016638362,-0.032485854,0.031067539,-0.0141846,0.0121130245,-0.014170595,0.041277908,0.007956853,-0.054282922,-0.060549725,0.041749686,-0.04646586,-0.0223846,-0.08844375,0.054866605,0.009152988,0.012910292,-0.037623722,-0.011738049,0.01231178,0.059169203,0.05334554,-0.056233305,0.042763866,-0.019680891,0.018316682,-0.01639357,0.08462338,0.041306317
R_5prEknulJjb2urk,Male,White,"Graduate degree (for example, Master's degree or doctorate)","$125,000 to $149,999",Republican,0.06055365,-0.042825148,-0.04094027,0.028509656,-0.049702067,-0.016327534,-0.0024028025,0.07871989,0.009856126,0.0881055,0.12189388,0.06441639,-0.05548832,0.02758844,-0.01688406,0.0012889318,-0.05545522,-0.023071574,0.016869063,0.07153311,0.067369916,-0.085909024,0.017867267,0.07988644,-0.023970887,-0.042225692,0.07359436,-0.022884356,0.052160572,0.05676809,0.025186328,0.061343722
R_5ZVzJePZlpGAgxI,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","$125,000 to $149,999",Independent,-0.008203618,0.04391771,0.023477491,-0.025521923,0.055181585,0.052670512,-0.006413008,0.07536974,-0.05187554,0.06030307,0.062133722,-0.018243646,-0.10241868,0.044624586,-0.072529405,-0.042649668,-0.056472477,0.0036559245,0.002723733,0.04655064,-0.01099317,-0.02796195,0.0343321,0.102409154,0.03287408,-0.053586412,0.035721373,0.013860875,0.037511438,0.017196864,0.05885583,0.07428306
R_6bJmeNWnMIMhyXD,Female,White,"Some college, no degree","$15,000 to $19,999",Democrat,0.08062373,0.03226773,-0.03961645,-0.048947256,-0.012155477,-0.07824278,-0.04171514,-0.014583803,-0.0523521,0.04451719,0.03163459,8.0419355e-05,-0.005670786,0.007475951,-0.048605643,-0.009329509,-0.05335906,0.021337977,0.047839344,0.009462047,-0.010607634,-0.07751428,-0.046780962,0.032930076,-0.034827814,-0.10462434,0.08731107,-0.028892912,0.06177283,0.031618834,0.036153853,0.04103013
R_6UeXzg8H31wB3FA,Female,White,"Graduate degree (for example, Master's degree or doctorate)","$35,000 to $39,999",Democrat,0.107043415,-0.008199109,-0.0490388,0.0015720362,-0.06377377,-0.043887228,-0.060415834,0.036327273,-0.062438436,0.057988465,0.10444461,0.0041370355,0.029666845,-0.012496704,0.0066850074,0.046634264,-0.0026064347,-0.015092086,0.011623566,0.021381691,0.041101024,-0.090608664,0.011586969,0.021007534,-0.060286794,-0.075502515,0.09441818,-0.0743626,0.06368691,0.035669748,0.073966704,0.012184551
R_5WxphsKK2o3BXdG,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","$75,000 to $99,999",Independent,0.034357525,0.0769888,0.0047599245,-0.03102215,0.040465828,0.0570124,0.010819728,0.10357051,-0.049543843,0.06416538,0.06314832,-0.07376967,-0.03625363,0.039425816,-0.044070687,-0.02369454,0.0050834008,-0.0037019271,-0.07709822,0.101570666,-0.049117476,-0.032226186,-0.018556312,0.0400702,0.0293413,-0.067378074,-0.0014900486,0.024346188,0.049823508,-0.065736555,0.120026276,0.024467126
R_1OUGUBofMQbQev2,Male,Asian or Asian American,"Graduate degree (for example, Master's degree or doctorate)","$150,000 or more",Democrat,0.03283204,-0.058800682,0.023032371,0.072462395,-0.08128491,-0.07827613,-0.021042097,0.027796566,0.08188085,0.046336465,0.06539812,0.033722952,0.0294644,0.051293217,0.049417425,0.037695665,0.06742498,-0.01677411,-0.035938546,0.029591536,0.13579832,-0.08584406,0.0022065276,0.009766687,0.027249977,-0.10656593,0.100618824,-0.091659606,0.045426954,0.037322674,0.03788306,0.03998536
R_1xqAXqDWDQyRuGR,Female,White,"Associate's degree (for example, AA or AS)","$40,000 to $49,999",Republican,0.031833924,-0.022916552,-0.05355771,0.10305215,-0.045057528,-0.05505191,0.026721798,0.0054110056,-0.07000718,0.123117425,0.02049198,-0.019158574,-0.022915823,0.05989273,0.023661843,-0.097691044,-0.12469023,0.03053834,0.0041581593,-0.012644755,0.026333509,-0.08479597,0.033684097,0.1093162,0.07019343,0.020825073,0.031534016,-0.038648844,-0.057000186,-0.10642629,0.03391168,0.02458445
R_5hydbZBODpStFBH,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","$125,000 to $149,999",Independent,-0.008203618,0.04391771,0.023477491,-0.025521923,0.055181585,0.052670512,-0.006413008,0.07536974,-0.05187554,0.06030307,0.062133722,-0.018243646,-0.10241868,0.044624586,-0.072529405,-0.042649668,-0.056472477,0.0036559245,0.002723733,0.04655064,-0.01099317,-0.02796195,0.0343321,0.102409154,0.03287408,-0.053586412,0.035721373,0.013860875,0.037511438,0.017196864,0.05885583,0.07428306
R_3V1sp94gx4RI6fD,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$35,000 to $39,999",Republican,0.055970527,-0.018054456,-0.03897301,-0.0053098393,-0.034832858,-0.048465494,-0.040973715,0.02820161,-0.0464516,0.07733349,0.05882252,-0.02161471,-0.026944568,0.0076666875,-0.03642344,0.03629816,-0.016060524,0.015253453,0.0028092805,-0.007762139,0.030375114,-0.046859004,0.03282135,0.05340174,-0.0711969,-0.038848054,0.101673715,0.021795541,0.062269654,0.0008674748,0.03728909,0.018856624
R_1O68ZrNrfsQj6kh,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$100,000 to $124,999",Democrat,0.039895073,-0.026611533,-0.033809107,0.0077290195,-0.027287122,-0.007838683,-0.04354762,0.012256207,-0.04627062,0.063242674,0.05443977,-0.05165748,-0.01073243,0.010974814,-0.012582183,0.008919036,-0.015919112,0.003432811,0.044875853,0.015246585,0.027481643,-0.05441262,-0.02726135,-0.021811202,0.0020497045,-0.056418706,0.024141073,0.026377188,0.015095914,-0.016004007,0.07281742,-0.011746509
R_65yYEHp8dMFQxgn,Female,White,High school diploma or GED,"$35,000 to $39,999",Democrat,0.06058637,-0.0044495966,-0.011290895,-0.050587527,-0.020933097,-0.06279035,-0.06974478,-0.0028918236,-0.10102853,0.11310819,0.06490794,-0.003018078,0.081250936,-0.0034477934,-0.004146681,0.027488722,-0.023619823,-0.013314275,0.030801881,-0.026652953,-0.0051889466,-0.06770493,-0.0011735284,0.073869355,-0.07297922,-0.10098979,0.0656169,-0.11080634,0.056054737,0.0019434653,0.072487816,0.058418155
R_3n2VF1ZW618dtah,Female,White,High school diploma or GED,"$75,000 to $99,999",Republican,0.033392504,0.0005122763,0.032160662,0.047750607,-0.042727422,-0.038688447,0.03085871,0.0028895102,-0.09505826,0.14069647,0.07075487,0.038160536,0.0905693,0.100439504,0.13228627,-0.061014675,-0.041556373,0.08810054,0.040880963,0.025539191,0.014266854,-0.06802186,-0.10315055,0.014046244,-0.039406754,0.011776927,-0.009586717,-0.018814668,-0.012050133,-0.11023732,0.07168659,0.036963604
R_1CHB3tYz1hB5coc,Female,White,"Some college, no degree","$30,000 to $34,999",Democrat,0.03531246,0.02848931,0.004312276,0.022103969,-0.015864255,0.006932291,-0.00614613,-0.0026172213,-0.06226477,0.080349855,0.08865325,0.030531855,0.023063563,0.016318958,-0.053449836,0.032202996,-0.08275111,0.023614705,0.04046433,-0.0030112662,0.030549405,-0.07497619,-0.08602935,-0.019766897,-0.06218673,-0.09668304,0.013507919,0.045274425,0.021191843,-0.033718046,0.07184235,0.07943073
R_1N1TG8En6WM068J,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","$50,000 to $59,999",Independent,0.015113594,0.041055247,0.033078663,-0.06276709,0.07084301,0.026317453,-0.0041328887,0.08831566,-0.043627303,0.04606168,0.039685678,-0.021365628,-0.0815537,-0.0052610068,-0.07575955,0.007826043,-0.0036897203,0.013612134,-0.06797682,0.055249855,-0.025758622,-0.04297286,0.05546938,0.041922443,-0.0018508222,-0.048998766,0.07554085,0.019336022,0.061292198,0.03256665,0.059161656,0.060073733
R_6feo4ep9RHMfN5b,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$150,000 or more",Independent,0.07445639,0.033149343,0.034329128,0.019752491,-0.029634716,-0.005792482,-0.08868079,0.023788113,0.0101133585,0.04979772,0.012348971,-0.076730385,-0.03596681,0.06924615,-0.051121227,0.042379078,0.0059514567,0.0063086934,0.02237988,-0.035386406,0.023380492,-0.028632263,0.03262055,0.066539384,0.0014692,-0.10298322,0.08427711,0.018985864,0.031862322,0.025033828,0.045142487,0.037897766
R_7Cgk3QhJLs6ePy4,Female,White,"Graduate degree (for example, Master's degree or doctorate)","$125,000 to $149,999",Democrat,0.092831925,-0.0308007,-0.0059975283,0.042676955,-0.06733701,0.0020573754,-0.0072423313,0.028283894,-0.0064429743,0.031569254,0.1060449,0.063193105,0.003647124,-0.013880564,-0.021849103,0.014691299,-0.108886994,0.00476639,0.05900317,0.048034232,0.03662892,-0.061922103,-0.0069966763,-0.001931746,0.011277651,-0.036695633,0.0695318,-0.0133225545,0.014502829,-0.021283716,0.06230757,0.061135992
R_1eb9Xsw7Ke6AHma,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","Less than $5,000",Independent,0.025403086,0.05680938,-0.010104211,0.01125447,0.05159229,0.0148865,-0.044124685,0.057973906,-0.04939075,0.120736405,0.0707313,-0.02438389,-0.10828969,0.081219375,-0.046752702,-0.006623286,-0.05986715,0.008766616,-0.0024244098,0.03229839,0.03227043,-0.032077312,0.051671777,0.11020327,0.0441453,-0.08851803,0.08687695,0.03544484,0.034381293,-0.006799939,0.07361251,0.07759472
R_1bN8RXyGeldvD2K,Male,White,High school diploma or GED,"$20,000 to $24,999",Republican,0.016893558,-0.030916637,0.017883131,0.10203634,0.0029338188,-0.087657064,-0.018771265,-0.00010484457,0.026792087,0.05799435,0.09343395,-0.026455073,0.012827617,0.027230812,0.009506818,-0.06722511,-0.01802074,0.04612586,-0.052304607,0.03799252,-0.008176483,-0.07358918,-0.015964882,0.06073712,-0.08973697,-0.113561936,0.10168694,0.018112827,-0.02632136,-0.06436923,0.037932895,0.07390308
R_1E4EZqoj8u6ezm1,Male,White,"Bachelor's degree (for example, BA, BS, or AB)","$125,000 to $149,999",Independent,-0.008203618,0.04391771,0.023477491,-0.025521923,0.055181585,0.052670512,-0.006413008,0.07536974,-0.05187554,0.06030307,0.062133722,-0.018243646,-0.10241868,0.044624586,-0.072529405,-0.042649668,-0.056472477,0.0036559245,0.002723733,0.04655064,-0.01099317,-0.02796195,0.0343321,0.102409154,0.03287408,-0.053586412,0.035721373,0.013860875,0.037511438,0.017196864,0.05885583,0.07428306
R_1jIl9NsP7Otcsqs,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$25,000 to $29,999",Democrat,0.07593261,0.03398623,-0.046728585,0.039317388,-0.017519334,-0.0066784136,0.00074785855,-0.0017385911,-0.04657653,0.06470596,0.048992746,0.008942253,-0.04754001,0.032578416,-0.011982357,-0.035483006,-0.16248645,0.07700123,0.07565755,0.017612822,0.022789612,-0.04399073,0.024929844,0.0069848485,0.08197363,-0.069364905,0.054139577,0.014772916,0.015069485,-0.06417142,0.08006823,0.057740055
R_30qPsmejMY5iQpl,Male,White,"Some college, no degree","$30,000 to $34,999",Independent,-0.0069532394,0.06276382,0.032759946,0.011200572,0.033639394,0.06614922,0.008876968,0.054652307,-0.021607157,0.042008817,0.07342477,-0.010853317,-0.035842218,0.025805008,-0.0833119,-0.0011801592,-0.058631472,0.01173109,-0.02830443,0.015120639,0.017542716,-0.0507569,-0.03520239,0.041798633,-0.06134633,-0.10140982,0.00030241208,0.06752834,0.04906312,0.013598231,0.048745587,0.0813237
R_19bjXPtnRzUxLoJ,Female,White,"Bachelor's degree (for example, BA, BS, or AB)","$60,000 to $74,999",Independent,0.025634719,0.034550346,0.028485715,-0.011587925,0.028300744,0.008880088,-0.039410897,0.048952233,-0.04592578,0.030332044,0.036029577,-0.04781536,-0.079363704,0.06461406,-0.07669024,-0.0072252294,-0.052779235,0.014593553,0.024537068,0.0028340688,-0.0072606,-0.032583635,-0.0085741505,0.045599,0.025835963,-0.077968195,0.05371105,0.021167627,0.0075519495,0.02223878,0.032878034,0.06267722
