bias,rmse,ece,alpha,delta,method
-0.0196089085684673,0.14998515128958853,0.036323483019900675,0.5,0.72,Majority
-0.0196089085684673,0.14998515128958853,0.036323483019900675,0.5,0.72,Weighted
-0.0196089085684673,0.14998515128958853,0.036323483019900675,0.5,0.72,PLDL-Weighted
0.02049110583717183,0.15387960207181267,0.030113088118604893,0.5,0.72,Majority
0.02049110583717183,0.15387960207181267,0.030113088118604893,0.5,0.72,Weighted
0.02049110583717183,0.15387960207181267,0.030113088118604893,0.5,0.72,PLDL-Weighted
-0.04771892504863324,0.16039068475980028,0.06207751579361879,0.5,0.72,Majority
-0.04771892504863324,0.16039068475980028,0.06207751579361879,0.5,0.72,Weighted
-0.04771892504863324,0.16039068475980028,0.06207751579361879,0.5,0.72,PLDL-Weighted
-0.019911449858553865,0.16007900983587978,0.04089702177263182,0.5,0.72,Majority
-0.019911449858553865,0.16007900983587978,0.04089702177263182,0.5,0.72,Weighted
-0.019911449858553865,0.16007900983587978,0.04089702177263182,0.5,0.72,PLDL-Weighted
-0.011411446910062687,0.14458318467463643,0.0333262080442377,0.5,0.72,Majority
-0.011411446910062687,0.14458318467463643,0.0333262080442377,0.5,0.72,Weighted
-0.011411446910062687,0.14458318467463643,0.0333262080442377,0.5,0.72,PLDL-Weighted
-0.05411139093406206,0.16218434687508962,0.06723066099954254,0.5,0.72,Majority
-0.05411139093406206,0.16218434687508962,0.06723066099954254,0.5,0.72,Weighted
-0.05411139093406206,0.16218434687508962,0.06723066099954254,0.5,0.72,PLDL-Weighted
-0.054170451413403674,0.16916240015253808,0.06856145293461566,0.5,0.72,Majority
-0.054170451413403674,0.16916240015253808,0.06856145293461566,0.5,0.72,Weighted
-0.054170451413403674,0.16916240015253808,0.06856145293461566,0.5,0.72,PLDL-Weighted
0.05180751609615495,0.16122434409567013,0.04811176771380263,0.5,0.72,Majority
0.05180751609615495,0.16122434409567013,0.04811176771380263,0.5,0.72,Weighted
0.05180751609615495,0.16122434409567013,0.04811176771380263,0.5,0.72,PLDL-Weighted
0.016934430108520457,0.14411812887049713,0.029777941148002224,0.5,0.72,Majority
0.016934430108520457,0.14411812887049713,0.029777941148002224,0.5,0.72,Weighted
0.016934430108520457,0.14411812887049713,0.029777941148002224,0.5,0.72,PLDL-Weighted
0.017748855477810722,0.15091334820458538,0.031827129263815236,0.5,0.72,Majority
0.017748855477810722,0.15091334820458538,0.031827129263815236,0.5,0.72,Weighted
0.017748855477810722,0.15091334820458538,0.031827129263815236,0.5,0.72,PLDL-Weighted
-0.08193586250634831,0.1800648490846523,0.09250686684763763,0.5,0.72,Majority
-0.08193586250634831,0.1800648490846523,0.09250686684763763,0.5,0.72,Weighted
-0.08193586250634831,0.1800648490846523,0.09250686684763763,0.5,0.72,PLDL-Weighted
-0.008773032448409265,0.15146110110335617,0.036005156488145944,0.5,0.72,Majority
-0.008773032448409265,0.15146110110335617,0.036005156488145944,0.5,0.72,Weighted
-0.008773032448409265,0.15146110110335617,0.036005156488145944,0.5,0.72,PLDL-Weighted
0.05557604650328531,0.1698552442180795,0.04562504054243319,0.5,0.72,Majority
0.05557604650328531,0.1698552442180795,0.04562504054243319,0.5,0.72,Weighted
0.05557604650328531,0.1698552442180795,0.04562504054243319,0.5,0.72,PLDL-Weighted
-0.010147053092600212,0.14901934676817524,0.03024317749575864,0.5,0.72,Majority
-0.010147053092600212,0.14901934676817524,0.03024317749575864,0.5,0.72,Weighted
-0.010147053092600212,0.14901934676817524,0.03024317749575864,0.5,0.72,PLDL-Weighted
-0.01718141842673259,0.15443833500301019,0.04802204335092251,0.5,0.72,Majority
-0.01718141842673259,0.15443833500301019,0.04802204335092251,0.5,0.72,Weighted
-0.01718141842673259,0.15443833500301019,0.04802204335092251,0.5,0.72,PLDL-Weighted
-0.016497355799385997,0.14519302958056876,0.04219181612610568,0.5,0.72,Majority
-0.016497355799385997,0.14519302958056876,0.04219181612610568,0.5,0.72,Weighted
-0.016497355799385997,0.14519302958056876,0.04219181612610568,0.5,0.72,PLDL-Weighted
0.018160479165589116,0.14765689395666617,0.03662344146261041,0.5,0.72,Majority
0.018160479165589116,0.14765689395666617,0.03662344146261041,0.5,0.72,Weighted
0.018160479165589116,0.14765689395666617,0.03662344146261041,0.5,0.72,PLDL-Weighted
0.0180125198071943,0.15201239732507132,0.034491905152734204,0.5,0.72,Majority
0.0180125198071943,0.15201239732507132,0.034491905152734204,0.5,0.72,Weighted
0.0180125198071943,0.15201239732507132,0.034491905152734204,0.5,0.72,PLDL-Weighted
0.012233409997660462,0.15843916531560487,0.04049094758298056,0.5,0.72,Majority
0.012233409997660462,0.15843916531560487,0.04049094758298056,0.5,0.72,Weighted
0.012233409997660462,0.15843916531560487,0.04049094758298056,0.5,0.72,PLDL-Weighted
-0.055524439700640145,0.1616958718011355,0.06946828163321563,0.5,0.72,Majority
-0.055524439700640145,0.1616958718011355,0.06946828163321563,0.5,0.72,Weighted
-0.055524439700640145,0.1616958718011355,0.06946828163321563,0.5,0.72,PLDL-Weighted
-0.05010768807566103,0.1604338639228033,0.062218112535210916,0.5,0.72,Majority
-0.05010768807566103,0.1604338639228033,0.062218112535210916,0.5,0.72,Weighted
-0.05010768807566103,0.1604338639228033,0.062218112535210916,0.5,0.72,PLDL-Weighted
0.01921767363606333,0.1522567413174649,0.036742445829499745,0.5,0.72,Majority
0.01921767363606333,0.1522567413174649,0.036742445829499745,0.5,0.72,Weighted
0.01921767363606333,0.1522567413174649,0.036742445829499745,0.5,0.72,PLDL-Weighted
0.024573113562762566,0.1630837244240987,0.03793986198775869,0.5,0.72,Majority
0.024573113562762566,0.1630837244240987,0.03793986198775869,0.5,0.72,Weighted
0.024573113562762566,0.1630837244240987,0.03793986198775869,0.5,0.72,PLDL-Weighted
-0.015166925443886746,0.15438873432245848,0.04252382254297816,0.5,0.72,Majority
-0.015166925443886746,0.15438873432245848,0.04252382254297816,0.5,0.72,Weighted
-0.015166925443886746,0.15438873432245848,0.04252382254297816,0.5,0.72,PLDL-Weighted
-0.010810091722261468,0.1563273852466551,0.03971525415861032,0.5,0.72,Majority
-0.010810091722261468,0.1563273852466551,0.03971525415861032,0.5,0.72,Weighted
-0.010810091722261468,0.1563273852466551,0.03971525415861032,0.5,0.72,PLDL-Weighted
-0.0766401381687787,0.1816440756042626,0.08666287136012475,0.5,0.72,Majority
-0.0766401381687787,0.1816440756042626,0.08666287136012475,0.5,0.72,Weighted
-0.0766401381687787,0.1816440756042626,0.08666287136012475,0.5,0.72,PLDL-Weighted
-0.051916905984101334,0.16883468804939808,0.06705842428474593,0.5,0.72,Majority
-0.051916905984101334,0.16883468804939808,0.06705842428474593,0.5,0.72,Weighted
-0.051916905984101334,0.16883468804939808,0.06705842428474593,0.5,0.72,PLDL-Weighted
-0.07821192370985831,0.18047157190137514,0.08977326315946865,0.5,0.72,Majority
-0.07821192370985831,0.18047157190137514,0.08977326315946865,0.5,0.72,Weighted
-0.07821192370985831,0.18047157190137514,0.08977326315946865,0.5,0.72,PLDL-Weighted
0.02368057741749944,0.15559609805244348,0.03927469972106768,0.5,0.72,Majority
0.02368057741749944,0.15559609805244348,0.03927469972106768,0.5,0.72,Weighted
0.02368057741749944,0.15559609805244348,0.03927469972106768,0.5,0.72,PLDL-Weighted
-0.02555341562723497,0.15655127480189493,0.04374565676052008,0.5,0.72,Majority
-0.02555341562723497,0.15655127480189493,0.04374565676052008,0.5,0.72,Weighted
-0.02555341562723497,0.15655127480189493,0.04374565676052008,0.5,0.72,PLDL-Weighted
-0.012772194949208657,0.1511421606260506,0.03946590299554058,0.5,0.72,Majority
-0.012772194949208657,0.1511421606260506,0.03946590299554058,0.5,0.72,Weighted
-0.012772194949208657,0.1511421606260506,0.03946590299554058,0.5,0.72,PLDL-Weighted
-0.0520161718831673,0.16429973696264275,0.06707089797935833,0.5,0.72,Majority
-0.0520161718831673,0.16429973696264275,0.06707089797935833,0.5,0.72,Weighted
-0.0520161718831673,0.16429973696264275,0.06707089797935833,0.5,0.72,PLDL-Weighted
-0.006657527233361569,0.15332042125608225,0.03821370619240756,0.5,0.72,Majority
-0.006657527233361569,0.15332042125608225,0.03821370619240756,0.5,0.72,Weighted
-0.006657527233361569,0.15332042125608225,0.03821370619240756,0.5,0.72,PLDL-Weighted
-0.048622891232790615,0.16391640417735537,0.06209440512429659,0.5,0.72,Majority
-0.048622891232790615,0.16391640417735537,0.06209440512429659,0.5,0.72,Weighted
-0.048622891232790615,0.16391640417735537,0.06209440512429659,0.5,0.72,PLDL-Weighted
-0.05067407815740874,0.16035764687871934,0.06171817121227159,0.5,0.72,Majority
-0.05067407815740874,0.16035764687871934,0.06171817121227159,0.5,0.72,Weighted
-0.05067407815740874,0.16035764687871934,0.06171817121227159,0.5,0.72,PLDL-Weighted
-0.04593461631171528,0.16086759048408836,0.06275538726461055,0.5,0.72,Majority
-0.04593461631171528,0.16086759048408836,0.06275538726461055,0.5,0.72,Weighted
-0.04593461631171528,0.16086759048408836,0.06275538726461055,0.5,0.72,PLDL-Weighted
-0.00902661236299883,0.15411437208739306,0.03433704945897822,0.5,0.72,Majority
-0.00902661236299883,0.15411437208739306,0.03433704945897822,0.5,0.72,Weighted
-0.00902661236299883,0.15411437208739306,0.03433704945897822,0.5,0.72,PLDL-Weighted
0.05086133424473346,0.1656779089393977,0.050463980408185394,0.5,0.72,Majority
0.05086133424473346,0.1656779089393977,0.050463980408185394,0.5,0.72,Weighted
0.05086133424473346,0.1656779089393977,0.050463980408185394,0.5,0.72,PLDL-Weighted
0.044558645256597196,0.162187883375162,0.04567128613058426,0.5,0.72,Majority
0.044558645256597196,0.162187883375162,0.04567128613058426,0.5,0.72,Weighted
0.044558645256597196,0.162187883375162,0.04567128613058426,0.5,0.72,PLDL-Weighted
